home,road,line,lineopen,neutral,linesag,linesage,linesagp,linesaggm,linemoore,linefox,linedunkel,lineteamrnks,linedok,linepugh,linedd,line7ot,linepir,linemassey,lineespn,lineer,lineround,linetalis,linedonc,line70t,lineavg,std
Ohio St.,Purdue,2,1.5,1,2.74,3.47,2.11,2.55,2.53,1,-2.541,2.9,2.22,3.6,,3,2.8,3.18,2.0208710779,2.26,3,2.7,3.1,,2.3317571222,1.3980443753
Oklahoma,West Virginia,-4,-3.5,1,-1.69,1.04,-4.39,-2.58,-5.43,-1,-2.633,-3.5,-3.34,-4.77,,-7,-3.6,-2.79,-5.418171194,-5.07,-4,-4.9,-4.1,,-3.4218336,1.7142017086
Oregon,Oregon St.,7,7,1,6.93,5.42,7.83,7.71,8.02,8,7.632,7.6,6.05,8.34,,9,7.3,7,9.0714373975,8.49,,,7.4,,7.5195624932,0.9221093492
Penn St.,Indiana,2.5,2,1,-1.21,-4.12,1.41,1.25,1.49,0.01,4.261,1.4,2.15,1.34,,1,1.1,1.45,1.0198741054,,,,,,0.8885287773,1.9328924816
Portland St.,Montana St.,4,4,1,3.83,6.37,2.89,2.43,4.01,5,3.165,2.7,2.51,3.7,,2,2.9,3.61,3.2714567457,2.94,-1,3.5,3.9,,3.2780268674,1.4674708643
Providence,Butler,-1.5,-1,1,-0.4,4.47,-1.13,-1.92,-2.11,3,-0.346,-2.1,-2.09,-2.35,,-2,-1.8,-2.23,-2.421000071,-1.23,-2,-1.8,-1.9,,-1.079823534,1.9298856291
Rider,Niagara,8.5,8.5,1,6.04,4.56,7.05,7.04,7.83,8,5.105,7.9,6.11,7.37,,8,7.4,7.53,10.59221439,8.53,6,,,,7.137147626,1.4711969654
Rutgers,Michigan,-3,-2.5,1,-0.99,2.83,-3.23,-3.58,-0.42,-1,-0.584,-2.1,-2.41,-1.96,,-2,-2.1,-1.57,-2.580751158,-2.78,-1,-2.5,,,-1.623421947,1.5091068315
SMU,Temple,3.5,3,1,1.95,2.73,1.5,1.65,1.41,1,4.073,1.4,4.51,2.27,,7,1.5,2.63,3.0159283661,3.59,2,1.7,3.8,,2.3958193157,1.0653637766
Sam Houston St.,Northwestern St.,5.5,5.5,1,1.48,-6.34,6.09,5.74,1.77,-1,3.154,6.3,5.37,4.23,,6,5.4,2.59,7.3015909721,,,,3.7,,3.2703993551,3.5740117465
Seattle,Utah Valley,2.5,2,1,2.17,5.09,0.79,0.46,3.53,4,3.799,3.6,2.48,3.48,,5,3.1,1.59,4.0246024822,2.8,2,3.7,2.8,,2.906682499,1.2155932861
